imbgeco,imueclt,imwbcnt,imsmetn,imdfetn,impcntr,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,lrscale,stflife,rlgdgr,gndr,mean_MigEnrich,mean_MigAllow,mean_Trust,lrscale_dummy
8,7,8,4,3,3,9,8,8,6,7,7,8,4,8,7,Male,7.666666666666667,3.3333333333333335,7.571428571428571,middle
8,6,4,3,3,3,3,6,7,2,2,3,3,6,8,6,Female,6,3,3.7142857142857144,middle
7,6,4,2,2,1,3,4,5,2,2,3,4,7,7,6,Male,5.666666666666667,1.6666666666666667,3.2857142857142856,middle
7,5,5,3,2,2,8,7,7,4,5,6,7,4,9,3,Male,5.666666666666667,2.3333333333333335,6.285714285714286,middle
9,9,8,4,3,3,8,10,9,7,7,8,9,3,10,4,Male,8.666666666666666,3.3333333333333335,8.285714285714286,middle
4,3,4,1,1,1,3,3,6,2,2,3,4,3,6,2,Male,3.6666666666666665,1,3.2857142857142856,middle
7,7,5,3,3,3,8,7,8,5,5,5,7,2,9,1,Male,6.333333333333333,3,6.428571428571429,middle
7,5,5,3,3,2,0,10,10,2,2,8,8,3,9,7,Male,5.666666666666667,2.6666666666666665,5.714285714285714,middle
7,7,5,3,2,3,9,8,9,7,6,6,5,5,9,3,Female,6.333333333333333,2.6666666666666665,7.142857142857143,middle
6,10,4,3,2,2,8,9,10,4,4,6,6,0,8,1,Male,6.666666666666667,2.3333333333333335,6.714285714285714,left
9,9,9,4,4,3,5,8,8,2,3,6,0,4,10,6,Male,9,3.6666666666666665,4.571428571428571,middle
5,6,6,4,3,2,2,3,6,1,1,5,4,4,9,8,Male,5.666666666666667,3,3.142857142857143,middle
6,7,5,3,3,3,6,7,8,5,5,5,7,5,8,9,Female,6,3,6.142857142857143,middle
5,7,4,2,2,3,4,6,9,3,3,3,4,3,8,4,Female,5.333333333333333,2.3333333333333335,4.571428571428571,middle
